ts_code,trade_date,adj_factor
600519.SH,20030703,1.118
600519.SH,20030704,1.118
600519.SH,20030707,1.118
600519.SH,20030708,1.118
600519.SH,20030709,1.118
600519.SH,20030710,1.118
600519.SH,20030711,1.118
600519.SH,20030714,1.24
600519.SH,20030715,1.24
600519.SH,20030716,1.24
600519.SH,20030717,1.24
600519.SH,20030718,1.24
600519.SH,20030721,1.24
600519.SH,20030722,1.24
600519.SH,20030723,1.24
600519.SH,20030724,1.24
600519.SH,20030725,1.24
600519.SH,20030728,1.24
600519.SH,20030729,1.24
600519.SH,20030730,1.24
600519.SH,20030731,1.24
600519.SH,20030801,1.24
600519.SH,20030804,1.24
600519.SH,20030805,1.24
600519.SH,20030806,1.24
600519.SH,20030807,1.24
600519.SH,20030808,1.24
600519.SH,20030811,1.24
600519.SH,20030812,1.24
600519.SH,20030813,1.24
600519.SH,20030814,1.24
600519.SH,20030815,1.24
600519.SH,20030818,1.24
600519.SH,20030819,1.24
600519.SH,20030820,1.24
600519.SH,20030821,1.24
600519.SH,20030822,1.24
600519.SH,20030825,1.24
600519.SH,20030826,1.24
600519.SH,20030827,1.24
600519.SH,20030828,1.24
600519.SH,20030829,1.24
600519.SH,20030901,1.24
600519.SH,20030902,1.24
600519.SH,20030903,1.24
600519.SH,20030904,1.24
600519.SH,20030905,1.24
600519.SH,20030908,1.24
600519.SH,20030909,1.24
600519.SH,20030910,1.24
600519.SH,20030911,1.24
600519.SH,20030912,1.24
600519.SH,20030915,1.24
600519.SH,20030916,1.24
600519.SH,20030917,1.24
600519.SH,20030918,1.24
600519.SH,20030919,1.24
600519.SH,20030922,1.24
600519.SH,20030923,1.24
600519.SH,20030924,1.24
600519.SH,20030925,1.24
600519.SH,20030926,1.24
600519.SH,20030929,1.24
600519.SH,20030930,1.24
600519.SH,20031008,1.24
600519.SH,20031009,1.24
600519.SH,20031010,1.24
600519.SH,20031013,1.24
600519.SH,20031014,1.24
600519.SH,20031015,1.24
600519.SH,20031016,1.24
600519.SH,20031017,1.24
600519.SH,20031020,1.24
600519.SH,20031021,1.24
600519.SH,20031022,1.24
600519.SH,20031023,1.24
600519.SH,20031024,1.24
600519.SH,20031027,1.24
600519.SH,20031028,1.24
